time,wind_speed,wind_direction,nacellePosition,nacelle position logs
157,5.7,66.3,39.914,48.3
158,6.7,57.3,40.244,48.3
159,6.9,33.3,40.574,48.3
160,6.7,82.3,40.904,48.3
161,7,77.3,41.234,48.3
162,7.2,71.3,41.564,48.3
163,6.7,49.3,41.894,48.3
164,6.9,38.3,42.224,48.3
165,6.3,13.3,42.554,48.3
166,6.2,40.3,42.884,48.3
167,6.3,26.3,43.214,48.3
168,6.4,30.3,43.544,48.3
169,6.4,54.3,43.874,48.3
170,6.4,35.3,44.204,48.3
171,6.4,82.3,44.459,48.3
172,6.5,61.3,44.55,48.3
173,7,33.3,44.55,48.3
174,7,71.3,44.55,48.3
175,6.3,37.3,44.55,48.3
176,6.3,30.3,44.55,48.3
177,6.4,13.3,44.55,48.3
178,6.6,57.3,44.55,48.3
179,6.4,54.3,44.55,48.3
180,6.2,42.3,44.55,48.3
181,6.7,28.3,44.55,48.3
182,6.4,8.3,44.55,48.3
183,6.7,31.3,44.55,48.3
184,6.7,59.3,44.55,48.3
185,6.8,45.3,44.55,48.3
186,6.8,33.3,44.55,48.3
187,7,30.3,44.55,48.3
188,6.7,35.3,44.55,48.3
189,6.8,45.3,44.55,48.3
190,6.6,48.3,44.55,48.3
191,6.7,23.3,44.55,48.3
192,6.5,38.3,44.55,48.3
193,6,31.3,44.55,48.3
194,6.5,35.3,44.55,48.3
195,6.8,45.3,44.55,48.3
196,6.1,45.3,44.55,48.3
197,6.6,38.3,44.55,48.3
198,7.2,11.3,44.55,48.3
199,7.4,23.3,44.55,48.3
200,7.2,47.3,44.55,48.3
201,7.2,20.3,44.55,48.3
202,7.1,54.3,44.55,48.3
203,6.8,8.3,44.55,48.3
204,7.2,84.3,44.55,48.3
205,6.9,36.3,44.55,48.3
206,6.5,18.3,44.55,48.3
207,6.4,47.3,44.55,48.3
208,6.6,13.3,44.55,48.3
209,6,48.3,44.55,48.3
210,5.3,21.3,44.55,48.3
211,5.6,74.3,44.55,48.3
212,6.7,35.3,44.55,48.3
213,7.1,28.3,44.55,48.3
214,6.4,69.3,44.55,48.3
215,5.6,66.3,44.55,48.3
216,5.3,67.3,44.55,48.3
217,5.4,30.3,44.55,48.3
218,6.2,43.3,44.55,48.3
219,6.8,69.3,44.55,48.3
220,6.4,18.3,44.55,48.3
221,6.3,40.3,44.55,48.3
222,6,45.3,44.55,48.3
223,6.1,48.3,44.55,48.3
224,6.6,42.3,44.55,48.3
225,6.8,33.3,44.55,48.3
226,7,84.3,44.55,48.3
227,6.6,96.3,44.55,48.3
228,5.9,35.3,44.55,48.3
229,5.8,59.3,44.55,48.3
230,6.4,35.3,44.55,48.3
231,6.7,18.3,44.55,48.3
232,7.1,28.3,44.55,48.3
233,7.3,64.3,44.55,48.3
234,7.2,20.3,44.55,48.3
235,7.1,40.3,44.55,48.3
236,6.7,45.3,44.55,48.3
237,6.3,69.3,44.55,48.3
238,6.8,101.3,44.55,48.3
239,6.8,13.3,44.55,48.3
240,6.4,25.3,44.55,48.3
241,6.3,35.3,44.55,48.3
242,6.2,57.3,44.55,48.3
243,6.1,35.3,44.55,48.3
244,6.1,20.3,44.55,48.3
245,6.3,49.3,44.55,48.3
246,6.5,38.3,44.55,48.3
247,6.3,45.3,44.55,48.3
248,6,38.3,44.55,48.3
249,6.5,66.3,44.55,48.3
250,6.3,1.3,44.55,48.3
251,6.2,28.3,44.55,48.3
252,7.1,23.3,44.55,48.3
253,7.2,56.3,44.55,48.3
254,6.7,36.3,44.55,48.3
255,6.2,25.3,44.55,48.3
256,5.8,84.3,44.55,48.3
257,5.8,59.3,44.55,48.3
258,5.8,54.3,44.55,48.3
259,5.9,38.3,44.55,48.3
260,6,54.3,44.55,48.3
261,6.2,66.3,44.55,48.3
262,6.2,30.3,44.55,48.3
263,6.2,18.3,44.55,48.3
264,6.5,47.3,44.55,48.3
265,6.8,54.3,44.55,48.3
